N,microF1,macroF1,accuracy,overall_time,cm,vectorizer_fitting,training_time,predicting_time
12,0.8403908794788274,0.7114370416601654,0.8403908794788274,120.22408843040466,"[[ 75   9   2   3]
 [  4  29  24  18]
 [  1  10 378   5]
 [  1   7  14  34]]",47.384366512298584,72.81850552558899,0.007727861404418945
13,0.8387622149837133,0.7113433110570515,0.8387622149837134,103.6717529296875,"[[ 75   9   2   3]
 [  2  29  25  19]
 [  1  11 377   5]
 [  1   7  14  34]]",47.002132177352905,56.64131736755371,0.01205587387084961
15,0.8631921824104235,0.7267315110375163,0.8631921824104235,115.04173469543457,"[[ 82   4   1   2]
 [  4  28  25  18]
 [  1   2 391   0]
 [  1   6  20  29]]",47.46864724159241,67.55542945861816,0.005184173583984375
16,0.8697068403908795,0.7409723697146446,0.8697068403908795,122.38321828842163,"[[ 83   3   1   2]
 [  4  28  25  18]
 [  1   1 391   1]
 [  0   6  18  32]]",47.62200307846069,74.74077892303467,0.00897073745727539
18,0.8615635179153095,0.7338839417253787,0.8615635179153095,118.24030876159668,"[[ 82   4   1   2]
 [  4  28  26  17]
 [  1   2 387   4]
 [  0   5  19  32]]",47.80211806297302,70.42823719978333,0.003084897994995117
20,0.8713355048859935,0.7526744836742858,0.8713355048859935,127.36505341529846,"[[ 86   2   0   1]
 [  5  34  24  12]
 [  2   3 386   3]
 [  1   8  18  29]]",47.09078001976013,80.2662205696106,0.001102447509765625
22,0.8664495114006515,0.745402547026048,0.8664495114006515,131.63003063201904,"[[ 84   4   0   1]
 [  4  33  26  12]
 [  2   2 387   3]
 [  1   5  22  28]]",47.17097496986389,84.45143508911133,0.0008845329284667969
24,0.8778501628664495,0.7598555815873786,0.8778501628664495,140.00651216506958,"[[ 86   2   0   1]
 [  5  33  23  14]
 [  2   0 390   2]
 [  2   4  20  30]]",47.450132846832275,92.54875755310059,0.0010149478912353516
26,0.8794788273615635,0.7651093212633324,0.8794788273615635,175.1084611415863,"[[ 85   2   0   2]
 [  6  35  24  10]
 [  1   0 391   2]
 [  2   4  21  29]]",47.356868267059326,127.7364399433136,0.0016908645629882812
29,0.8811074918566774,0.7618427158390975,0.8811074918566775,172.6030728816986,"[[ 86   1   0   2]
 [  6  36  22  11]
 [  1   0 392   1]
 [  2   6  21  27]]",47.1944580078125,125.40082240104675,0.0010869503021240234
32,0.8859934853420195,0.7679915819254072,0.8859934853420195,177.73497605323792,"[[ 87   2   0   0]
 [  4  41  20  10]
 [  1   0 392   1]
 [  2   9  21  24]]",47.44605255126953,130.27342820167542,0.008864641189575195
35,0.8876221498371335,0.7689511294985417,0.8876221498371335,189.99060010910034,"[[ 87   2   0   0]
 [  3  44  19   9]
 [  1   0 392   1]
 [  2  10  22  22]]",48.994361877441406,140.9883680343628,0.0010275840759277344
39,0.8892508143322475,0.774675088148731,0.8892508143322475,191.26754784584045,"[[ 86   3   0   0]
 [  3  44  17  11]
 [  1   1 391   1]
 [  1  12  18  25]]",49.396522521972656,141.8631157875061,0.0011491775512695312
42,0.8876221498371335,0.764535040246478,0.8876221498371335,194.4968581199646,"[[ 86   3   0   0]
 [  2  49  18   6]
 [  1   1 391   1]
 [  2  14  21  19]]",48.701040506362915,145.78788137435913,0.0012209415435791016
47,0.8925081433224755,0.7566058044646529,0.8925081433224755,191.58708143234253,"[[ 86   2   0   1]
 [  1  56  13   5]
 [  1   1 391   1]
 [  2  21  18  15]]",48.766156911849976,142.80490159988403,0.009151458740234375
51,0.8925081433224755,0.7556826344517298,0.8925081433224755,186.18215036392212,"[[ 86   2   0   1]
 [  1  56  12   6]
 [  1   1 391   1]
 [  2  21  18  15]]",49.128841161727905,137.03336119651794,0.007911443710327148
57,0.8843648208469054,0.7334156589429808,0.8843648208469055,196.77988147735596,"[[ 86   3   0   0]
 [  3  55  13   4]
 [  2   1 390   1]
 [  2  22  20  12]]",49.24497056007385,147.5089147090912,0.01662135124206543
62,0.9022801302931596,0.7657159057061089,0.9022801302931596,200.8962471485138,"[[ 86   3   0   0]
 [  2  64   6   3]
 [  2   1 390   1]
 [  2  24  16  14]]",48.838412046432495,152.04022526741028,0.009418010711669922
68,0.9006514657980456,0.7583914428770779,0.9006514657980456,203.04367113113403,"[[ 85   3   0   1]
 [  2  65   6   2]
 [  2   1 390   1]
 [  3  25  15  13]]",49.30520415306091,153.73013520240784,0.0015475749969482422
75,0.9022801302931596,0.7655774161957816,0.9022801302931596,205.67920327186584,"[[ 84   4   0   1]
 [  2  66   6   1]
 [  2   1 390   1]
 [  3  24  15  14]]",49.1817524433136,156.4892292022705,0.0015971660614013672
83,0.9022801302931596,0.7660849056165069,0.9022801302931596,207.69078087806702,"[[ 85   3   0   1]
 [  2  65   7   1]
 [  2   1 390   1]
 [  3  24  15  14]]",49.44498586654663,158.23753094673157,0.0016868114471435547
91,0.9055374592833876,0.766567657646389,0.9055374592833876,216.28837990760803,"[[ 85   4   0   0]
 [  2  68   4   1]
 [  2   1 390   1]
 [  3  24  16  13]]",48.805787086486816,167.45143723487854,0.013532161712646484
100,0.9022801302931596,0.7598225274515723,0.9022801302931596,209.2310914993286,"[[ 84   5   0   0]
 [  2  68   4   1]
 [  1   3 389   1]
 [  2  29  12  13]]",48.874370098114014,160.33900260925293,0.0026597976684570312
110,0.9071661237785015,0.7651683942176414,0.9071661237785016,219.22844433784485,"[[ 84   5   0   0]
 [  1  69   3   2]
 [  1   2 391   0]
 [  1  30  12  13]]",48.83648633956909,170.3727753162384,0.007073402404785156
121,0.9104234527687296,0.7680507708860659,0.9104234527687296,215.86784625053406,"[[ 85   4   0   0]
 [  1  69   3   2]
 [  1   1 392   0]
 [  2  30  11  13]]",49.02577781677246,166.8331561088562,0.0022699832916259766
133,0.9071661237785015,0.7686063699893486,0.9071661237785016,219.67578887939453,"[[ 83   6   0   0]
 [  1  69   3   2]
 [  1   2 391   0]
 [  1  30  11  14]]",48.82761287689209,170.8310477733612,0.006193637847900391
146,0.9006514657980456,0.7547014510815485,0.9006514657980456,236.23555731773376,"[[ 82   7   0   0]
 [  1  69   2   3]
 [  2   3 389   0]
 [  1  32  10  13]]",49.29242134094238,186.93396520614624,0.0024747848510742188
161,0.8973941368078175,0.7451062999812909,0.8973941368078175,221.39484477043152,"[[ 80   9   0   0]
 [  2  69   2   2]
 [  1   3 390   0]
 [  1  32  11  12]]",49.15992212295532,172.2258551120758,0.002477884292602539
177,0.8957654723127035,0.7467092963239089,0.8957654723127035,240.09570407867432,"[[ 81   8   0   0]
 [  1  70   2   2]
 [  3   4 387   0]
 [  1  31  12  12]]",49.41744828224182,190.64314460754395,0.020673751831054688
194,0.9022801302931596,0.7621200426025725,0.9022801302931596,237.62377977371216,"[[ 84   5   0   0]
 [  2  70   2   1]
 [  2   5 387   0]
 [  1  29  13  13]]",48.836889028549194,188.77748465538025,0.0027866363525390625
214,0.8957654723127035,0.7426027435859552,0.8957654723127035,240.42711782455444,"[[ 83   6   0   0]
 [  3  69   2   1]
 [  2   5 387   0]
 [  1  31  13  11]]",49.02072024345398,191.37576341629028,0.013725996017456055
235,0.9006514657980456,0.7503013076179419,0.9006514657980456,237.48204159736633,"[[ 85   4   0   0]
 [  2  70   2   1]
 [  3   4 387   0]
 [  1  31  13  11]]",49.200799226760864,188.26189732551575,0.011211633682250977
258,0.8957654723127035,0.749873896595208,0.8957654723127035,236.74605202674866,"[[ 85   4   0   0]
 [  2  69   2   2]
 [  5   5 384   0]
 [  1  30  13  12]]",49.219367027282715,187.508686542511,0.011308431625366211
284,0.8957654723127035,0.76532130127418,0.8957654723127035,243.53908109664917,"[[ 86   3   0   0]
 [  4  66   2   3]
 [  6   6 382   0]
 [  1  28  11  16]]",49.431458711624146,194.08890342712402,0.00636601448059082
312,0.8908794788273615,0.7497330728262932,0.8908794788273615,247.96782112121582,"[[ 85   3   0   1]
 [  4  65   3   3]
 [  6   5 383   0]
 [  1  29  12  14]]",49.45343089103699,198.49295902252197,0.013988256454467773
343,0.8925081433224755,0.7530964664995083,0.8925081433224755,258.04160022735596,"[[ 85   4   0   0]
 [  3  67   3   2]
 [  6   6 382   0]
 [  2  30  10  14]]",49.558748960494995,208.46857857704163,0.0074155330657958984
377,0.8973941368078175,0.7574024629541692,0.8973941368078175,290.1798267364502,"[[ 84   5   0   0]
 [  2  69   2   2]
 [  3   7 384   0]
 [  1  34   7  14]]",51.30163097381592,238.86432933807373,0.007175445556640625
414,0.8908794788273615,0.7389838751671972,0.8908794788273615,257.21737456321716,"[[ 85   4   0   0]
 [  3  66   4   2]
 [  2   8 384   0]
 [  0  39   5  12]]",49.369518756866455,207.83363246917725,0.007598400115966797
456,0.8908794788273615,0.7400129543009125,0.8908794788273615,253.66003322601318,"[[ 84   5   0   0]
 [  3  67   3   2]
 [  3   7 384   0]
 [  0  36   8  12]]",49.30358600616455,204.34185218811035,0.007894039154052734
501,0.8908794788273615,0.7453874761251488,0.8908794788273615,255.16326355934143,"[[ 84   5   0   0]
 [  3  66   4   2]
 [  3   7 384   0]
 [  0  34   9  13]]",49.27160692214966,205.8690550327301,0.01573967933654785
